Data,Abertura,Fechamento,Maximo,Minimo,Volume
2020-01-31,39759.98999,40000.00004,40299,39000,9132423.05757501
2020-02-01,40009.09990999,39755,40139.98,39700,1557826.34691214
2020-02-02,39760.74998999,40200,40501.01,39600,4538743.33798365
2020-02-03,40326.39,39700.00004,40329.66,39402,7352077.88140845
2020-02-04,39829.22748,39100.32165,39833.8,38700,8242218.79736698
2020-02-05,39346.85993,40700,41202,39100.85343,14338169.51533036
2020-02-06,40700,41885,42000,40501.00001,10365265.88460123
2020-02-07,41890,42053.12999999,42500,41890,9692445.27640301
2020-02-08,42053.12,42800,42800,42000,3327837.60201688
2020-02-09,42800,43738.99993,44000,42702.01,7274755.95640909
2020-02-10,43738.99993,42305,43738.99993,41850,13004805.44696311
2020-02-11,42305.01,44398,44700,42250,16527415.42729068
2020-02-12,44398,45225.52,45430,44350,13394991.16720077
2020-02-13,45350,44897.55331,45500,44385.00001,10884635.04016825
2020-02-14,44897.55301,44780.94993,45200,44500,6083602.03446868
2020-02-15,44700,43789.98999,44838,42500,8613718.94834125
2020-02-16,43789.98999,43100.24003999,44000,42500,4489604.4473622
2020-02-17,43199.98,42462.73,43299.68761999,41100,12104799.77414119
2020-02-18,42461.66001,44047.06,44900,42435.01001,13004189.43065073
2020-02-19,44047.05002,42503.68142,44900.009,41800,10739022.57599147
2020-02-20,42503.86174999,42800,43999,42101,8897535.09973607
2020-02-21,42816.26,42868,43999,42700,6030683.64679633
2020-02-22,42868,42949.97,43175,42757.35,916239.5193396
2020-02-23,42949.97,42998.70999,43789,42850,2170887.7664993
