|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-06-26 | 46099.99       | 48990          | 54943          | 41000          | 108507413.83557886 |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-06-27 | 48990          | 42250          | 49497.9999     | 40000          | 73738010.47684237  |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-06-28 | 42250          | 45350          | 47990          | 42001.05       | 40787649.93953112  |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-06-29 | 45350          | 45995          | 47600          | 44010          | 13547845.77722719  |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-06-30 | 45891.05001    | 43759.99992    | 46300          | 42550          | 19057906.2025323   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-07-01 | 43749.93986    | 40350          | 43903          | 38202          | 43190968.70513247  |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-07-02 | 40350          | 42200          | 43600          | 38000.01       | 38801047.9693794   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-07-03 | 42200          | 44949.99992    | 45100          | 41600.99993    | 36049055.17132751  |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-07-04 | 44800.00003    | 43033          | 45735.05634    | 42279.99       | 26855563.50180083  |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-07-05 | 43033          | 43400.16       | 44499          | 42245          | 18415320.10655909  |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-07-06 | 43400.18       | 43348          | 44293          | 43010          | 6435503.34818057   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-07-07 | 43301.12       | 43701          | 43990          | 43000          | 3302460.21366595   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-07-08 | 43711          | 47000          | 47602.1        | 43700          | 38131103.13551638  |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-07-09 | 47100          | 48200.97003    | 49000          | 46100          | 29379196.09324897  |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-07-10 | 48389.93994    | 45789.99993    | 49800          | 44102          | 46078968.04821956  |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-07-11 | 45552.06004    | 43430          | 45899.09       | 42600          | 33013371.63277989  |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-07-12 | 43430          | 44521.00003    | 45499          | 42900          | 15285495.70021635  |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-07-13 | 44679.98993    | 43799.94953    | 44710.63       | 42000          | 11820373.78243763  |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-07-14 | 43605.00004    | 39589.77943    | 43898.90574    | 39001          | 19064269.08506852  |
